stock_code,REPORT_DATE,REPORT_TYPE,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_EQUITY,TOTAL_PARENT_EQUITY,ACCOUNTS_RECE,FIXED_ASSET,INTANGIBLE_ASSET,GOODWILL,SHARE_CAPITAL,CAPITAL_RESERVE,SURPLUS_RESERVE,UNASSIGN_RPOFIT,report_type,OPERATE_INCOME,ASSET_IMPAIRMENT_LOSS,OPERATE_PROFIT,TOTAL_PROFIT,NETPROFIT,PARENT_NETPROFIT,NETCASH_OPERATE,NETCASH_INVEST,NETCASH_FINANCE,has_balance_sheet,has_profit_sheet,has_cash_flow,TOTAL_CURRENT_ASSETS,TOTAL_NONCURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_NONCURRENT_LIAB,MONETARYFUNDS,INVENTORY,TOTAL_OPERATE_INCOME,OPERATE_COST,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,RESEARCH_EXPENSE,SALES_SERVICES,BUY_SERVICES
600999,2023-06-30,中报,627554069970.76,509313192879.72,118240877091.04,118155772413.12,,1489278835.89,484756813.0,9670605.55,8696526806.0,40366971456.12,5236148007.81,31322277995.24,balance_sheet,10793961086.4,,5208985548.48,5210200849.66,4729592084.16,4726975056.87,18975648049.46,1324784889.81,-19838817587.98,True,True,True,,,,,112121942918.83,,,,,,,,,
600999,2023-09-30,三季报,624017113163.64,504382686951.69,119634426211.95,119552667771.55,,1451354723.1,535196623.63,9670605.55,8696526806.0,40366971456.12,5236148007.81,32987573477.73,balance_sheet,14871134663.02,,6911357653.3,6912732350.07,6405341672.98,6401520883.21,12607113197.62,-69088073.78,-19745569269.83,True,True,True,,,,,97478172074.14,,,,,,,,,
600999,2023-12-31,年报,695852990280.62,573816058013.5,122036932267.12,121961426964.03,,1506714917.86,703374964.0,9670605.55,8696526806.0,40362973914.29,5236148007.81,33493517212.85,balance_sheet,19821213073.58,,9298386984.97,9295692459.17,8769086837.42,8763959184.96,27103725895.06,-24094855440.88,7701273367.12,True,True,True,,,,,110022616088.89,,,,,,,,,
600999,2024-03-31,一季报,642582607133.21,518203198638.65,124379408494.56,124302836800.07,,1478500079.17,702797762.92,9670605.55,8696526806.0,40362973914.29,5236148007.81,35591588581.9,balance_sheet,4298673959.4,,2274458520.21,2271514268.26,2158289650.23,2157223258.83,6641509004.58,-10439394650.54,-26737541540.78,True,True,True,,,,,89995573836.69,,,,,,,,,
600999,2024-06-30,中报,639129526310.92,514600037357.25,124529488953.67,124451716958.78,,1430209786.86,747297249.62,9670605.55,8696526806.0,40362973914.29,5236148007.81,35360176024.9,balance_sheet,9595157988.18,,4972396083.25,4968279822.43,4749962259.48,4747695567.68,17443527725.75,-10628298050.39,-35330741554.03,True,True,True,,,,,92863957865.45,,,,,,,,,
600999,2024-09-30,三季报,666760600878.02,540707507497.15,126053093380.87,125974530303.57,,1455518528.92,774786057.67,9670605.55,8696526806.0,40362973914.29,5236148007.81,36825762874.96,balance_sheet,14279272406.54,,7564253263.72,7560160195.95,7152567257.09,7149509482.88,76398999437.49,-11098030994.67,-53616595745.58,True,True,True,,,,,136618361531.76,,,,,,,,,
600999,2024-12-31,年报,721160331448.06,590908098061.63,130252233386.43,130178629442.55,,1514833331.86,1004709920.28,9670605.55,8696526806.0,40362973914.29,5236148007.81,38345082006.62,balance_sheet,20891398043.11,,11227664293.28,11219491589.81,10389971051.5,10385872410.71,54726248578.68,-14260651440.33,-10358181100.65,True,True,True,,,,,144322269698.32,,,,,,,,,
601006,2019-03-31,一季报,150332038770.0,31560535256.0,118771503514.0,110404904025.0,7313467757.0,79521930949.0,8882198656.0,,14866791491.0,23898238608.0,14652416055.0,57855407671.0,balance_sheet,19742652045.0,,5694953183.0,5668403292.0,4403325869.0,4005657757.0,3406031064.0,-3505497868.0,215762592.0,True,True,True,33177036023.0,117155002747.0,18239202605.0,13321332651.0,18591822929.0,1576644758.0,19742652045.0,14568633410.0,42999345.0,137669260.0,32457024.0,0.0,12314492319.0,3960959626.0
601006,2019-06-30,中报,144989385959.0,28839816492.0,116149569467.0,107416648769.0,8283961441.0,77214342548.0,8849219891.0,,14866791491.0,23898238608.0,14652416055.0,54754275798.0,balance_sheet,40266931104.0,,11710823364.0,11670362152.0,8804462681.0,8040585800.0,5043324428.0,-3306724635.0,-8126852943.0,True,True,True,28040283619.0,116949102340.0,15873832283.0,12965984209.0,12085273991.0,1527864766.0,40266931104.0,29692064601.0,84904970.0,276585359.0,46344864.0,264151.0,26840345189.0,5703033268.0
601006,2019-09-30,三季报,147981569809.0,28111621264.0,119869948545.0,111406933095.0,7337988541.0,78139935578.0,8670581535.0,,14866791491.0,23898238608.0,14652416055.0,58802162404.0,balance_sheet,59872523588.0,,16856080336.0,16823024922.0,13220638940.0,12088472406.0,11022292697.0,-4828836515.0,-9321091265.0,True,True,True,31012367479.0,116969202330.0,15656544686.0,12455076578.0,15347892058.0,1485052783.0,59872523588.0,44626484215.0,132094919.0,435302234.0,91371747.0,479168.0,41233724174.0,7881154632.0
